"ST15Q01";"ST19Q01";"misced";"fisced";"CLCUSE1";"ESCS";"FAMSTRUC";"BELONG";"STUDREL";"ATTLNACT";"ANXMAT";"FAILMAT";"INSTMOT";"INTMAT";"SMATBEH";"MATHEFF";"MATINTFC";"SCMAT";"SUBNORM";"PV1MATH"
0;0;0,5;0,500000000000001;0,25;0,624460431654677;0,5;0,728241563055063;0,39278937381404;0,661849017940836;0,546747967479674;0,609972241408521;0,419023136246786;0,437346437346437;0,170233507486557;0,800664451827242;1;0,425675675675675;0,561208247473564;1
0,333333333333333;0;0,5;1;0,749999999999999;0,58273381294964;0,5;0,506216696269982;0,586337760910815;0,754932095132212;0,595528455284552;0,480966468142781;0,491002570694087;0,511056511056511;0,170233507486557;0,647840531561461;0,733023349167057;0,583333333333333;0,561208247473564;1
0,333333333333333;0,333333333333334;0,666666666666667;0,833333333333334;0,5;0,615827338129497;0;0,433392539964476;0,499051233396584;0,754932095132212;0,546747967479674;0,45155278693652;0,604113110539845;0,660933660933661;0,256431737521134;0,712624584717608;0,428681340737272;0,637387387387387;0,745271028959935;1
0;0;1;1;0;0,715107913669065;0;0,433392539964476;0,351043643263757;0,849388529200183;0,595528455284552;0,541553177902597;0,876606683804627;0,125307125307126;0;0,679401993355481;1;0,583333333333333;0,476339720888911;1
1;0;1;1;0,25;0,781294964028778;0,5;0,467140319715808;0,586337760910815;1;0,595528455284552;0,650111425331995;0,491002570694087;0,437346437346437;0,256431737521134;1;0,0754331972971176;0,425675675675675;0,605332971385561;1
0;0;0,666666666666667;0,833333333333334;0,25;0,660431654676259;0,5;0,678507992895204;0,804554079696394;1;0,386178861788617;0,421800268463373;0,876606683804627;0,808353808353808;0,493518758282432;0,712624584717608;0,267511875292702;0,743243243243242;0,476339720888911;1
0;0;1;0,833333333333334;0,5;0,709352517985612;0;0,785079928952042;0,499051233396584;1;0,386178861788617;0,421800268463373;0,491002570694087;0,353808353808354;0,170233507486557;1;0,428681340737272;0,531531531531531;0,435324457386819;1
0;0;0,833333333333334;0,500000000000001;1;0,738129496402878;0,5;0,506216696269982;0,586337760910815;1;0,386178861788617;0,541553177902597;0,491002570694087;0,353808353808354;0,256431737521134;0,593023255813953;0,428681340737272;0,531531531531531;0,605332971385561;1
0,333333333333333;0;0,833333333333334;0,833333333333334;0,25;0,733812949640288;0,5;0,85968028419183;1;0,754932095132212;0,49390243902439;0,480966468142781;0,719794344473007;0,808353808353808;0,513168116251084;1;0,733023349167057;0,743243243243242;0,605332971385561;1
1;0;0,833333333333334;1;0,749999999999999;0,857553956834532;0,5;0,547069271758437;0,586337760910815;0,754932095132212;0,49390243902439;0,480966468142781;0,491002570694087;0,660933660933661;0,256431737521134;0,712624584717608;0,428681340737272;0,637387387387387;0,476339720888911;1
0,333333333333333;0;0,666666666666667;0,833333333333334;0,5;0,728057553956835;0,5;0,433392539964476;0,804554079696394;0,849388529200183;0,73780487804878;0,574277038562288;0,604113110539845;0,437346437346437;0,423877777947022;0,647840531561461;0,428681340737272;0,373873873873874;0,518255740779586;1
0,333333333333333;0;0,833333333333334;1;0,749999999999999;0,748201438848921;0,5;0,373001776198934;0,440227703984819;0,661849017940836;0,595528455284552;0,574277038562288;0,604113110539845;0,511056511056511;0,256431737521134;0,619601328903654;1;0,518018018018018;0,476339720888911;1
0,333333333333333;0;0,333333333333333;0,666666666666668;0,25;0,647482014388489;0,5;0,678507992895204;0,586337760910815;1;0,546747967479674;0,5107320188185;0,359897172236504;0,125307125307126;0,170233507486557;0,679401993355481;0,267511875292702;0,263513513513512;0,476339720888911;1
0;0;0,333333333333333;0,833333333333334;0,749999999999999;0,762589928057555;0,5;0,506216696269982;0,586337760910815;0,754932095132212;0,642276422764227;0,541553177902597;0,604113110539845;0,57985257985258;0,170233507486557;0,712624584717608;0,428681340737272;0,637387387387387;0,650531199486692;1
0;0;0,833333333333334;0,666666666666668;0,25;0,598561151079137;0,5;0,401420959147425;0,311195445920304;0,754932095132212;0,441056910569105;0,480966468142781;0,190231362467865;0,511056511056511;0,170233507486557;0,647840531561461;0,428681340737272;0,637387387387387;0,317596831311773;1
0,333333333333333;0;0,833333333333334;0,833333333333334;0,5;0,63884892086331;0,5;0,401420959147425;0,39278937381404;0,754932095132212;0,386178861788617;0,5107320188185;0,719794344473007;0,751842751842753;0,359065360771351;0,867109634551494;0,428681340737272;0,623873873873873;0,518255740779586;1
0;0;0,833333333333334;1;0,5;0,683453237410072;0,5;0,785079928952042;1;1;0,333333333333333;0,421800268463373;1;0,808353808353808;0,315014241976512;0,800664451827242;0,733023349167057;0,801801801801801;0,650531199486692;1
0;0;0,666666666666667;0,666666666666668;0,25;0,579856115107914;0,5;0,547069271758437;0,675521821631878;0,661849017940836;0,546747967479674;0,541553177902597;0;0,57985257985258;0,315014241976512;0,867109634551494;0,5721549474811;0,225225225225226;0,435324457386819;1
0;0;1;0,333333333333334;0,25;0,762589928057555;0,5;0,506216696269982;0,675521821631878;0,318270006321801;0,441056910569105;0,541553177902597;0,303341902313625;0,437346437346437;0,359065360771351;0,712624584717608;0,267511875292702;0,583333333333333;0,317596831311773;1
0;0;0,833333333333334;0,833333333333334;0,25;0,683453237410072;0,5;0,589698046181172;0,586337760910815;0,849388529200183;0,546747967479674;0,5107320188185;0,604113110539845;0,57985257985258;0,315014241976512;0,593023255813953;1;0,477477477477477;0,605332971385561;1
0;0;0,666666666666667;0,666666666666668;0,25;0,673381294964029;0,5;0,433392539964476;0,586337760910815;0,531118522878382;0,595528455284552;0,541553177902597;0,419023136246786;0,353808353808354;0,170233507486557;0,543189368770764;0,226232688833881;0,425675675675675;0,518255740779586;1
1;0;0,666666666666667;0,833333333333334;0,5;0,646043165467626;0;0,467140319715808;0,39278937381404;0,531118522878382;0,278455284552845;0,45155278693652;0,249357326478148;0,511056511056511;0,394327580691839;0,867109634551494;0,5721549474811;0,689189189189189;0,561208247473564;1
0;0;0,666666666666667;0,333333333333334;0;0,614388489208633;0,5;0,436944937833037;0,586337760910815;0,531118522878382;0,441056910569105;0,421800268463373;0,491002570694087;0,437346437346437;0,359065360771351;0,619601328903654;0,476282866126982;0,518018018018018;0,476339720888911;1
1;0;1;1;0,25;0,58273381294964;0,5;0,506216696269982;0,586337760910815;0,849388529200183;0,386178861788617;0,321465340857259;0,491002570694087;0,511056511056511;0;0,446843853820598;0,267511875292702;0,425675675675675;0,435324457386819;1
1;0;0,5;0,333333333333334;0,5;0,660431654676259;0,5;0,589698046181172;0,586337760910815;0,531118522878382;0,386178861788617;0,480966468142781;0,604113110539845;0,660933660933661;0,423877777947022;1;0,733023349167057;0,583333333333333;0,518255740779586;1
