"ST04Q01";"ST15Q01";"ST19Q01";"misced";"fisced";"CLCUSE1";"ESCS";"FAMSTRUC";"BELONG";"STUDREL";"ATTLNACT";"ATSCHL";"ANXMAT";"FAILMAT";"INSTMOT";"INTMAT";"SMATBEH";"MATHEFF";"MATINTFC";"MATWKETH";"SCMAT";"SUBNORM"
0,503125;-1,164375;0,635;2,104375;0,1390625;0,6084375;0,475578125;-0,911875;-0,156353125;-0,860221875;-1,7412205;-1,057734375;0,178515625;0,02983903125;-2,29005625;-1,889296875;0,14793778125;-0,40359375;-1,54987946875;-2,9547695625;-1,674796875;-1,38267978125
0,503125;-0,164375;2,635;2,104375;2,1390625;0,6084375;1,065578125;0,088125;2,623646875;2,089778125;1,1717795;2,242265625;-2,511484375;-0,66116096875;1,59994375;1,400703125;0,57343778125;2,19640625;1,43952053125;0,8436304375;2,195203125;1,37862021875
-0,496875;1,835625;1,635;-2,895625;-3,8609375;0,6084375;-2,084421875;0,088125;-0,566353125;0,739778125;1,1717795;-0,347734375;-0,871484375;-1,51806096875;1,11994375;1,400703125;0,37943778125;-0,55359375;-0,26837946875;-0,2380695625;0,345203125;-0,06827978125
0,503125;-1,164375;-0,365;2,104375;2,1390625;0,6084375;1,265578125;0,088125;-0,156353125;-0,090221875;0,4808795;0,662265625;-0,081484375;1,32773903125;0,05994375;0,190703125;-0,52586221875;0,99640625;-0,26837946875;0,2954304375;0,585203125;1,77152021875
0,503125;-1,164375;-0,365;2,104375;-2,8609375;-1,3915625;1,285578125;0,088125;0,813646875;0,739778125;1,1717795;2,242265625;-0,611484375;-2,49366096875;1,59994375;0,800703125;0,37943778125;2,19640625;0,64142053125;1,2568304375;1,315203125;-0,06827978125
0,503125;-0,164375;-0,365;0,104375;0,1390625;0,6084375;0,515578125;0,088125;1,833646875;2,089778125;1,1717795;2,242265625;-1,441484375;-3,66076096875;1,59994375;1,400703125;1,28243778125;2,19640625;0,16052053125;2,5437304375;1,635203125;1,77152021875
0,503125;-1,164375;2,635;2,104375;0,1390625;-0,3915625;0,865578125;0,088125;-1,536353125;-1,540221875;0,4808795;-0,747734375;0,418515625;0,02983903125;0,05994375;-0,449296875;-0,52586221875;-0,25359375;0,16052053125;-0,5746695625;-0,124796875;0,63742021875
0,503125;-1,164375;-0,365;2,104375;2,1390625;0,6084375;1,335578125;0,088125;-1,186353125;-0,860221875;1,1717795;-0,747734375;0,178515625;0,74583903125;1,11994375;0,800703125;0,89263778125;-0,55359375;0,16052053125;-0,2380695625;-0,124796875;-0,06827978125
-0,496875;-0,164375;-0,365;0,104375;2,1390625;0,6084375;0,745578125;0,088125;-0,746353125;1,439778125;-0,9791205;-0,747734375;0,418515625;1,01973903125;-0,38005625;-0,769296875;-0,14126221875;-0,55359375;-0,75017946875;-0,8964695625;-0,824796875;-0,40797978125
0,503125;1,835625;-0,365;1,104375;1,1390625;-1,3915625;-0,174421875;-0,911875;-0,566353125;-0,860221875;1,1717795;0,662265625;0,178515625;0,25823903125;1,11994375;-0,449296875;-0,52586221875;0,70640625;1,43952053125;0,6577304375;-0,584796875;0,27982021875
